id	ST	species
2009-01-4064-1-T	602	Broiler
2014-01-4270-1-S	1246	Broiler
2015-01-1952-1-T	117	Broiler
2015-01-1955-1-S	70	Broiler
2015-01-1661-1-S	641	Broiler
2015-01-1823-1-S	10	Red fox
2015-01-1954-1-S	34	Red fox
2011-01-3460-5-T	602	Broiler
2015-01-5018-1-S	744	Pig
2012-01-838-6-T	8720	Broiler
2015-01-5141-1-S	744	Pig
2013-01-2024-1-T	1056	Broiler
2014-01-7133-1-S	162	Broiler
2014-01-7394-1-S	162	Broiler
2017-01-3941-1-S	4994	Broiler
2016-17-343-1-S	58	Pig
2016-17-98-1-S	58	Pig
2014-01-2070-1-S	355	Pig
2014-01-2071-1-S	10	Pig
2014-01-2144-1-S	117	Pig
